sub_ux_id,user_id,ux_start_date,ux_end_date,sub_type,download_id,date,datetime,user_id,session_id,resource_id,career_id,country_id
21450437,12449922,2023-06-21,2023-07-20,2,1571125425,2023-07-21,2023-07-21 00:22:50,12449922,gn5djdfqrn6u3vlkql4ok6gjpi-0,6750830,781,12
21450454,4143778,2023-06-21,2023-07-20,2,1571120896,2023-07-21,2023-07-21 00:09:24,4143778,f3dip1abea58di33drmbjdslj1-0,6592584,37,12
21450454,4143778,2023-06-21,2023-07-20,2,1571121034,2023-07-21,2023-07-21 00:09:46,4143778,f3dip1abea58di33drmbjdslj1-0,2521483,37,12
21450469,10709019,2023-06-21,2023-07-20,2,1571134103,2023-07-21,2023-07-21 00:48:07,10709019,oakasv66o01l6tojl4rgnhndvv-0,1661907,40,12
21450562,3360677,2023-06-21,2023-07-20,2,1571132400,2023-07-21,2023-07-21 00:42:38,3360677,6na7ne80fg293d2jn364nnmtp7-0,6318124,735,12
21450573,4532746,2023-06-21,2023-07-20,2,1571122385,2023-07-21,2023-07-21 00:14:04,4532746,6ofmkoavfckoi3k12oqcggfqm4-0,201536,735,12
21450573,4532746,2023-06-21,2023-07-20,2,1571125786,2023-07-21,2023-07-21 00:23:48,4532746,6ofmkoavfckoi3k12oqcggfqm4-0,1489284,735,12
21450932,3071074,2023-06-21,2023-07-20,2,1571118940,2023-07-21,2023-07-21 00:03:15,3071074,1fkbu3gldp53r35dd90hnhoqm4-0,6136260,40,12
21451363,12445085,2023-06-21,2023-07-20,2,1571128651,2023-07-21,2023-07-21 00:31:49,12445085,c64dhrokgg4bhod1hn6djo4tdb-0,6056205,735,12
21451363,12445085,2023-06-21,2023-07-20,2,1571128760,2023-07-21,2023-07-21 00:32:06,12445085,c64dhrokgg4bhod1hn6djo4tdb-0,1827844,735,12
21451566,8192858,2023-06-21,2023-07-20,2,1571119009,2023-07-21,2023-07-21 00:03:28,8192858,8390icen5ag30bd8mucdg0qedb-0,699871,40,12
21451999,994898,2023-06-21,2023-07-20,2,1571120546,2023-07-21,2023-07-21 00:08:21,994898,1mg29k68t284uu1c6f4og0sn14-0,5289604,735,12
21453402,9929255,2023-06-21,2023-07-20,2,1571120241,2023-07-21,2023-07-21 00:07:23,9929255,1vpusrh9n3gqv8ofj01v9tcl3d-0,6586218,365,12
21453402,9929255,2023-06-21,2023-07-20,2,1571123218,2023-07-21,2023-07-21 00:16:38,9929255,d5eb1895l4r4eaq0km1kukiq3h-0,6586218,365,12
21453402,9929255,2023-06-21,2023-07-20,2,1571124062,2023-07-21,2023-07-21 00:19:02,9929255,d5eb1895l4r4eaq0km1kukiq3h-0,2725278,365,12
21453402,9929255,2023-06-21,2023-07-20,2,1571124622,2023-07-21,2023-07-21 00:20:38,9929255,d5eb1895l4r4eaq0km1kukiq3h-0,4595022,365,12
21455255,16744390,2023-06-21,2023-07-20,2,1571121197,2023-07-21,2023-07-21 00:10:22,16744390,3aear17cqpviotimah47ueprs0-0,8968,45,12
21459222,971479,2023-06-21,2023-07-20,2,1571131768,2023-07-21,2023-07-21 00:40:40,971479,rn68v0ucqradohv1fm1cf2anm7-0,6726984,735,12
21459881,10756950,2023-06-21,2023-07-20,2,1571128414,2023-07-21,2023-07-21 00:31:10,10756950,rhi9lb5vtjk01coo5k1k8itf2a-0,3635988,245,12
21491432,10847903,2023-06-21,2023-07-20,2,1571125734,2023-07-21,2023-07-21 00:23:39,10847903,lb5jubvb082itqedvuu6n1399q-0,6752417,41,12
21491432,10847903,2023-06-21,2023-07-20,2,1571127045,2023-07-21,2023-07-21 00:27:12,10847903,lb5jubvb082itqedvuu6n1399q-0,158307,41,12
21491432,10847903,2023-06-21,2023-07-20,2,1571127232,2023-07-21,2023-07-21 00:27:47,10847903,lb5jubvb082itqedvuu6n1399q-0,1478958,41,12
21491432,10847903,2023-06-21,2023-07-20,2,1571127455,2023-07-21,2023-07-21 00:28:25,10847903,lb5jubvb082itqedvuu6n1399q-0,120746,41,12
21491432,10847903,2023-06-21,2023-07-20,2,1571128928,2023-07-21,2023-07-21 00:32:40,10847903,lb5jubvb082itqedvuu6n1399q-0,81980,41,12
21493373,12790490,2023-06-21,2023-07-20,2,1571125286,2023-07-21,2023-07-21 00:22:29,12790490,48v76boi8qh2et0gfh4aun60sg-0,1747444,735,12
21493373,12790490,2023-06-21,2023-07-20,2,1571129540,2023-07-21,2023-07-21 00:34:31,12790490,48v76boi8qh2et0gfh4aun60sg-0,6344532,735,12
